@relation data

@attribute id string
@attribute 3265 numeric
@attribute 7529 numeric
@attribute 5605 numeric
@attribute 5894 numeric
@attribute 5604 numeric
@attribute 3845 numeric
@attribute 8660 numeric
@attribute 4893 numeric
@attribute 2885 numeric
@attribute 3667 numeric
@attribute 5595 numeric
@attribute 6654 numeric
@attribute 5594 numeric
@attribute Class {Control,BRCACancer}

@data
AO_RR-3288,0.2487,2.3773,0.4016,1.3006,0.5443,1.2325,0.511,2.6737,1.769,0.2222,1.0076,1.0738,1.7968,Control
AP_RR-3280,0.1431,1.958,0.2376,2.1826,0.9249,1.7145,0.6528,1.6584,1.6953,0.152,0.8065,0.5797,1.185,Control
AR_RR-3278,0.2732,2.5092,0.3163,1.5123,0.3739,1.0333,0.496,2.5272,1.566,0.2569,1.1146,1.0202,1.9453,Control
AS_RR-3277,0.3057,2.1136,0.4018,1.8673,0.6193,1.4022,0.4742,2.7269,1.4781,0.342,0.9584,0.831,1.6547,Control
A_RR96-12,0.3705,2.6937,0.5218,1.2219,0.5474,0.8549,0.3179,2.4396,1.3518,0.317,1.0417,1.3464,1.9988,BRCACancer
B_RR-1519,0.4933,2.1591,0.4049,1.2018,0.4684,0.6922,-0.0903,3.5051,1.1193,0.203,0.9608,0.5136,1.5346,BRCACancer
C_RR-3293,0.534,2.2149,0.4076,1.1309,0.3596,0.6979,0.1339,3.7795,0.9474,0.3082,0.6379,1.0291,1.3252,BRCACancer
D_RR-3301,0.3205,2.0813,0.4339,1.3636,0.4315,1.3552,0.4732,2.6729,1.7527,0.1081,1.0448,0.8458,1.6512,BRCACancer
E_RR-2070,0.4323,2.4612,0.6423,1.2087,0.5697,0.7994,0.3596,2.4346,1.5226,0.1446,0.912,1.3747,2.1009,BRCACancer
J_RR-1226,0.304,1.7867,0.2117,1.5716,0.8733,1.4402,0.5481,2.8709,1.3228,0.1885,0.66,0.8202,1.51,BRCACancer
K_RR-3290,0.4244,2.2978,0.4794,1.1903,0.6294,1.1749,0.4231,2.7836,1.9293,0.2092,1.2351,0.9624,1.8484,Control
L_RR-3286,0.2813,2.2363,0.2477,1.1857,0.5526,1.0506,0.3311,2.5363,1.6906,0.3457,0.9665,1.2001,1.7357,Control
N_RR-3294,0.3218,2.4912,0.2691,1.5481,0.4721,1.3443,0.5919,2.8317,1.3706,0.1458,0.9025,0.5616,1.4592,Control
O_RR-3285,0.2854,2.0336,0.3625,1.9283,0.674,1.2005,0.3947,2.7454,1.5022,0.0849,0.8402,0.7521,1.5979,Control
P_RR-3274,0.3892,2.4705,0.3983,1.2567,0.5111,1.145,0.4312,2.387,1.3988,0.1197,0.9589,0.7484,1.6369,Control
Q_RR-3283,0.3245,2.3399,0.4657,1.3293,0.9109,0.971,0.4925,2.5692,1.8188,0.2579,0.925,0.8916,1.6865,Control
RR-3275,0.2088,2.2963,0.363,1.7429,0.4393,1.3797,0.4752,2.4287,1.4658,0.1801,0.8251,1.0117,1.5211,Control
RR-3281,0.1482,2.1372,0.1728,1.4312,0.5756,1.1958,0.4229,2.8973,1.2333,0.1329,0.7583,0.3483,1.5506,Control
RR-3287,0.1989,2.3905,0.3928,1.5532,0.5379,1.4169,0.4342,2.7526,1.5013,0.1143,0.8421,0.8976,1.75,BRCACancer
RR-3289,0.4728,2.6423,0.373,1.3995,0.4908,1.0818,0.4966,3.2547,1.3787,0.1956,0.9152,0.8919,1.4951,Control
RR-3299,0.2627,2.0477,0.2013,1.263,0.4253,1.3437,0.3584,2.4505,1.1882,0.2398,0.7765,1.2972,1.4914,BRCACancer
T_RR-3292,0.3107,2.4119,0.2806,1.792,0.8775,1.2656,0.5893,2.8453,1.4689,0.1147,0.8427,0.6643,1.6361,Control
U_RR-2236,0.4763,2.7689,0.4668,1.3317,0.4378,1.1101,0.5673,2.8917,1.7726,0.2222,1.2707,1.1765,1.9843,BRCACancer
V_RR-1455,0.7004,2.4085,0.5743,1.3632,0.5615,0.9346,-0.0969,3.7048,1.1331,0.2037,1.1072,0.6107,1.5089,BRCACancer
W_RR-922,0.5036,2.4311,0.4005,1.8445,0.5944,1.335,0.2883,3.3396,1.8198,0.1044,0.9887,0.6596,1.7143,BRCACancer
X_RR-1083,0.3581,2.4225,0.2923,1.6268,0.3345,1.1617,0.465,3.6203,1.6333,0.0686,0.9212,0.585,1.5573,BRCACancer
Y_RR-841,0.0878,1.8391,0.1419,1.7583,0.6258,1.4605,0.3813,2.2837,1.4191,0.0878,0.4651,0.4311,1.3741,BRCACancer
Z_RR-778,0.3773,2.1374,0.4431,1.8072,0.4913,1.6387,0.4669,2.8862,1.886,0.114,1.1016,0.8218,1.5829,BRCACancer
