@relation data

@attribute id string
@attribute 842 numeric
@attribute 1147 numeric
@attribute 2932 numeric
@attribute 7249 numeric
@attribute 5170 numeric
@attribute 4193 numeric
@attribute 1027 numeric
@attribute 2931 numeric
@attribute 1026 numeric
@attribute 207 numeric
@attribute 208 numeric
@attribute 10000 numeric
@attribute 84335 numeric
@attribute 572 numeric
@attribute Class {Control,BRCACancer}

@data
G660,0.8647,0.8735,0.2749,0.2715,0.7666,0.7158,1.3514,1.1791,1.435,0.789,0.6428,0.0064,0.2125,0.1919,Control
H663,0.6031,1.3615,0.531,0.2587,0.6822,1.0075,1.871,0.9366,1.0693,0.6251,0.7596,0.346,0.0729,0.3128,Control
I782,0.4498,0.9546,0.4334,0.2383,0.6149,1.0483,2.476,0.6436,1.1364,0.5253,0.8129,0.4027,0.2397,0.1531,Control
J787,1.1518,1.5778,0.6394,0.4108,0.9491,1.5398,1.8742,1.2085,1.433,0.8846,0.8639,0.2979,0.321,0.2491,Control
K1162,0.5599,1.0553,0.6713,0.3185,0.5012,0.8453,1.5651,1.1064,1.1053,0.6196,0.5945,0.6096,0.218,0.1645,BRCACancer
L1176,0.8008,1.3353,0.6355,0.2283,0.745,1.2087,1.6371,0.7661,1.3263,0.5117,0.8485,0.3989,0.1162,0.2765,BRCACancer
M1263,0.5637,1.4214,0.4714,0.2721,0.6105,1.247,2.5921,1.0006,1.4494,0.5839,0.7372,0.5648,0.2679,0.2311,BRCACancer
P1075,0.5795,0.9093,0.3492,0.3115,0.7959,1.1896,2.757,1.1634,1.3754,0.6711,0.9064,0.2514,0.2529,0.211,BRCACancer
Q1080,0.5551,0.5631,0.2663,0.2638,0.7902,0.8228,1.3163,1.3798,0.7643,0.6191,0.5983,0.3488,0.2143,0.1381,BRCACancer
R1104,0.9332,1.4265,0.738,0.2775,0.8944,1.1188,1.3081,0.9453,1.2948,0.7026,0.8534,0.538,0.2089,0.1961,BRCACancer
S1133,1.0062,0.9123,0.3563,0.1765,0.8238,0.9015,1.8902,1.223,1.2169,0.4689,0.7395,0.4148,0.1946,0.1656,BRCACancer
T1463,0.5628,1.1419,0.815,0.4703,0.6803,1.2588,2.128,1.1097,1.0392,0.6967,0.7554,0.8345,0.4299,0.2352,BRCACancer
U2017,0.5512,1.0945,0.3375,0.1998,0.7072,1.2319,1.9916,0.8522,1.3497,0.4693,0.6913,0.3196,0.1851,0.1079,BRCACancer
V432,0.7301,0.8804,0.439,0.1668,0.6726,0.9127,1.4078,0.7818,1.0558,0.3643,0.5695,0.5277,0.0985,0.0714,BRCACancer
W433,0.4764,1.2509,0.7718,0.3413,0.6458,1.0361,1.8223,1.0118,1.5086,0.5257,0.5826,0.5481,0.1888,0.2518,BRCACancer
X524,0.7697,1.1221,0.6573,0.2839,0.8862,1.4048,1.8091,1.3549,0.8701,0.641,0.4924,0.8423,0.1106,0.2949,BRCACancer
Y546,0.6316,0.5763,0.1626,0.239,0.5486,0.5507,1.5044,0.7596,0.892,0.5234,0.5607,0.2175,0.0557,0.0927,BRCACancer
Z3225,0.4319,1.1967,0.7035,0.4713,0.6676,0.9006,2.3459,1.13,0.6445,0.6248,0.764,0.8235,0.3739,0.1356,Control
