@relation data

@attribute id string
@attribute 79023 numeric
@attribute 23511 numeric
@attribute 55746 numeric
@attribute 7514 numeric
@attribute 23279 numeric
@attribute 79902 numeric
@attribute 9883 numeric
@attribute 4927 numeric
@attribute 4928 numeric
@attribute 348995 numeric
@attribute 11097 numeric
@attribute 53371 numeric
@attribute 9972 numeric
@attribute 8480 numeric
@attribute 9631 numeric
@attribute 8021 numeric
@attribute 23225 numeric
@attribute 5905 numeric
@attribute 9818 numeric
@attribute 8086 numeric
@attribute 57122 numeric
@attribute 5901 numeric
@attribute 23165 numeric
@attribute 5902 numeric
@attribute 5903 numeric
@attribute 7175 numeric
@attribute 9688 numeric
@attribute 129401 numeric
@attribute 81929 numeric
@attribute 10762 numeric
@attribute Class {Control,BRCACancer}

@data
F03,0.6671,1.259,0.9722,1.2331,1.0768,0.6359,0.6205,1.2879,1.4425,1.1597,0.3698,0.7322,1.3376,0.7139,1.3957,0.9185,1.2657,0.7271,1.1152,0.8685,0.7337,0.6817,1.3022,0.109,1.9981,1.3655,0.7105,0.4691,1.1015,0.7502,Control
F04,0.6362,1.199,0.8682,1.2787,1.1207,0.8563,0.675,1.4694,1.5757,1.11,0.5738,0.5819,1.3111,0.8327,1.1298,1.1878,1.2225,0.7823,1.306,0.9593,0.8657,0.7775,1.1827,0.1602,1.8657,1.475,0.8445,0.2862,1.1181,1.0117,Control
F05,0.7267,1.287,1.0866,1.5536,1.0922,0.714,0.5175,1.5323,1.5056,1.2923,0.6278,0.655,1.4566,0.8127,1.4183,0.9824,1.3628,0.7743,1.0666,0.7577,0.8996,0.8415,1.4119,0.2454,2.112,1.561,0.7351,0.3871,1.2259,0.7912,Control
F06,0.6035,0.9468,0.7963,1.3197,0.8165,0.4091,0.404,1.1508,1.2623,0.9213,0.3161,0.604,1.114,0.6873,1.1283,0.8087,0.9874,0.5307,0.8821,0.6621,0.6278,0.5003,1.0168,0.0277,1.7065,1.1703,0.5354,0.4295,0.9441,0.4822,Control
F07,0.6018,1.3113,0.9878,1.5173,1.1683,0.736,0.8318,1.5488,1.5726,1.2262,0.5336,0.6831,1.5487,0.8439,1.429,1.1439,1.5586,0.8562,1.1738,0.8367,0.7712,0.6519,1.4344,0.188,2.4664,1.8598,0.7134,0.5911,1.1234,0.8166,Control
F09,0.8877,1.449,1.2879,1.6198,1.2488,0.804,0.6683,1.599,1.6768,1.5792,0.7675,0.8899,1.5516,0.9932,1.6735,1.1385,1.4111,0.9051,1.3826,1.214,1.0101,1.2082,1.6097,0.2556,2.4821,1.7758,0.9358,0.5119,1.3173,0.8211,Control
F10,0.8083,1.4097,1.1873,1.6226,1.1934,0.7919,0.7363,1.4747,1.6471,1.4463,0.8156,0.8721,1.6365,0.8906,1.6883,1.1667,1.6096,0.8716,1.2757,1.1099,0.8439,0.9008,1.6475,0.2655,2.4468,1.7458,0.8355,0.5648,1.3038,0.891,Control
F11,0.7149,1.3011,0.9217,1.303,1.0831,0.5931,0.3095,1.313,1.5711,1.1665,0.4243,0.6626,1.2861,0.7893,1.2369,1.0088,1.2622,0.7387,1.1952,1.0038,0.7855,0.772,1.2409,0.1708,1.9816,1.2316,0.7606,0.36,1.2713,0.7543,Control
F12,0.7226,1.1842,0.9743,1.4585,1.0932,0.7977,0.677,1.4173,1.5227,1.0633,0.6799,0.7569,1.4604,0.7285,1.3679,1.1233,1.2919,0.6587,1.3111,0.7779,0.8441,0.6352,1.3509,0.1271,2.2202,1.6728,0.7678,0.4099,1.0733,0.9339,Control
G01,0.5928,1.1247,0.8458,1.3766,1.0371,0.6146,0.6984,1.2091,1.4821,1.116,0.3915,0.6111,1.3519,0.802,1.167,1.0361,1.2145,0.7205,1.0137,0.8549,0.6819,0.6245,1.1734,0.1638,1.9261,1.401,0.7514,0.4353,0.997,0.6775,Control
G02,0.502,0.9548,0.7127,1.2103,0.8212,0.4204,0.5477,1.1149,1.2046,0.8356,0.4042,0.5135,1.2638,0.7283,1.0533,0.892,1.1033,0.6642,0.9141,0.7129,0.6126,0.6747,1.0112,0.1928,1.557,1.2127,0.5647,0.2776,0.9316,0.7743,Control
G03,0.7515,1.416,1.2321,1.5669,1.2156,0.7407,0.7621,1.4384,1.6421,1.5437,0.7471,0.8304,1.6366,1.0013,1.6017,1.1888,1.4566,0.8383,1.2638,1.1238,0.9767,0.9297,1.5521,0.1633,2.2193,1.8034,0.8063,0.612,1.2566,0.8289,Control
G04,0.5687,1.418,1.1037,1.5623,1.0538,0.4871,0.616,1.469,1.5472,1.4506,0.5335,0.7471,1.5847,0.7566,1.6392,1,1.5833,0.8836,0.9878,1.0967,0.7824,0.7562,1.5183,0.231,2.3475,1.8047,0.7598,0.4003,1.0955,0.7185,BRCACancer
G05,0.2005,0.7689,0.5085,1.0216,0.7073,0.536,0.3003,0.9393,0.9061,0.572,0.1842,0.2154,1.0392,0.5222,0.6289,0.8561,0.9129,0.4749,0.7644,0.6331,0.3051,0.3808,0.7266,0.0555,1.2134,1.0827,0.5049,0.0335,0.6947,0.7236,BRCACancer
G06,0.6366,1.1848,1.0625,1.5623,0.8805,0.5014,0.7096,1.1648,1.304,1.26,0.4558,0.7605,1.4623,0.7063,1.4014,0.9765,1.3685,0.6955,1.0064,0.7963,0.6792,0.6431,1.3674,0.1521,2.2003,1.6345,0.7506,0.4705,0.8954,0.708,BRCACancer
