@relation data

@attribute id string
@attribute 941 numeric
@attribute 942 numeric
@attribute 940 numeric
@attribute 5170 numeric
@attribute 1326 numeric
@attribute 79109 numeric
@attribute 207 numeric
@attribute 208 numeric
@attribute 2475 numeric
@attribute 5290 numeric
@attribute 64223 numeric
@attribute 10000 numeric
@attribute 117145 numeric
@attribute 2534 numeric
@attribute 253260 numeric
@attribute 9020 numeric
@attribute 5295 numeric
@attribute 3932 numeric
@attribute 57761 numeric
@attribute Class {Control,BRCACancer}

@data
J02,0.0901,0.5367,1.762,0.6548,0.4976,0.2796,0.5911,0.7046,0.6231,1.1314,0.3966,0.3698,0.6855,1.1803,1.3756,0.5239,1.114,1.7899,0.1429,Control
J03,0.0996,0.7262,1.2374,0.7053,0.7124,0.4238,0.7972,0.8282,1.0596,1.4154,0.5662,0.447,0.6962,1.3821,1.7224,0.6605,1.2124,2.0298,0.2941,Control
J04,0.1173,0.7642,1.3872,0.747,0.7662,0.4882,0.6076,0.809,0.923,1.2689,0.5378,0.4131,0.8251,1.3314,1.5275,0.6577,1.2594,1.7305,0.1643,Control
J05,0.1687,0.7936,1.4927,0.6814,0.5298,0.5448,0.4919,0.6491,0.8629,1.166,0.2859,0.6506,0.8171,1.6053,1.475,0.6496,1.1473,1.308,-0.0498,Control
J06,0.2589,0.9737,1.3899,0.6564,0.6124,0.4671,0.5629,0.6095,0.8811,1.2223,0.2681,0.648,0.7223,1.9236,1.6254,0.6449,1.3573,1.3742,-0.1215,Control
J07,0.308,1.1477,1.4726,0.8802,1.0709,0.4547,0.7866,0.8392,1.0557,1.4432,0.6253,0.3859,0.522,1.3644,1.6366,0.7188,1.3933,1.7675,0.2958,Control
J08,0.2066,0.728,1.2369,0.6886,0.7271,0.3897,0.7232,0.7913,0.7851,1.1302,0.3764,0.4487,0.4878,1.33,1.392,0.5789,0.9995,1.6052,0.0467,Control
J09,0.2445,0.4527,1.7365,0.5922,0.5082,0.3011,0.465,0.6328,0.848,1.2172,0.3154,0.6273,0.8702,1.7093,1.4615,0.5133,1.2994,1.6496,-0.1463,Control
J10,0.3776,0.8843,1.8881,0.8099,0.7678,0.6244,0.6406,0.8393,0.9941,1.5707,0.475,1.0394,1.0709,1.9626,1.9596,0.7444,1.5076,1.742,0.0854,Control
J11,0.2035,0.5408,1.4739,0.8306,0.8163,0.5734,0.6162,0.7902,0.8274,1.3301,0.4462,0.8595,0.4976,1.8461,1.7492,0.6779,1.4647,1.6894,0.0408,Control
J12,0.1146,0.602,1.7234,0.654,0.5839,0.4595,0.5324,0.6915,0.8368,1.2942,0.2696,0.8633,0.8471,1.8455,1.617,0.5143,1.3928,1.4688,-0.0576,Control
K01,0.28,1.6579,1.4629,0.9168,0.9344,0.6342,0.711,0.8028,1.1107,1.628,0.512,0.6619,0.7299,1.7789,1.9192,0.79,1.5682,1.4971,0.125,BRCACancer
K02,0.2661,1.0535,1.6631,0.7762,0.7916,0.5168,0.6853,0.7974,0.9907,1.5322,0.4224,0.5178,1.0381,1.603,1.7462,0.6771,1.4944,1.7497,0.1244,BRCACancer
K03,0.2191,0.6578,1.7219,0.6377,0.5912,0.4553,0.5217,0.6236,0.88,1.3492,0.2552,0.5478,0.91,1.6074,1.6439,0.5953,1.4384,1.5133,-0.1807,BRCACancer
K04,0.3296,0.72,1.5717,0.7982,0.9266,0.5358,0.6898,0.8543,0.9515,1.4233,0.5246,0.5695,0.8715,1.7036,1.7216,0.7538,1.4326,1.9064,0.1373,BRCACancer
K05,0.1095,0.672,1.556,0.7101,0.7948,0.4521,0.5961,0.7945,0.6991,1.0461,0.4832,0.4768,0.5489,1.3892,1.2831,0.6348,1.1505,1.6028,0.113,Control
AA3226,0.2197,1.3438,1.8613,0.9169,0.7849,0.2004,0.5248,0.6953,0.7212,1.4218,0.3592,0.4178,0.5279,1.9542,1.972,0.6923,1.5259,1.41,0.0672,Control
AB3227,0.2379,0.526,1.4518,0.598,0.9038,0.5731,0.5383,0.6445,0.8923,1.1038,0.359,0.5635,0.8328,1.162,1.2716,0.4611,1.2228,1.8243,-0.0444,Control
