@relation data

@attribute id string
@attribute 8517 numeric
@attribute 1147 numeric
@attribute 2033 numeric
@attribute 5970 numeric
@attribute 7124 numeric
@attribute 3551 numeric
@attribute 8841 numeric
@attribute 7132 numeric
@attribute 7189 numeric
@attribute 8772 numeric
@attribute 1387 numeric
@attribute 8737 numeric
@attribute 4790 numeric
@attribute 8717 numeric
@attribute 4792 numeric
@attribute Class {Control,BRCACancer}

@data
I02,0.139,0.78,1.5993,1.1047,0.331,0.8788,0.5097,0.9223,0.6213,0.3513,1.144,1.0299,1.3236,0.7222,1.5331,Control
I03,0.0939,0.6636,1.2526,0.9126,0.1663,0.6248,0.4142,0.7126,0.5311,0.5065,0.9464,0.9642,0.9335,0.7267,1.3814,Control
I04,0.3299,1.2342,1.6421,1.4445,0.4595,0.9517,0.7592,1.3767,0.9497,0.9182,1.2589,1.3908,1.2905,1.0581,2.151,Control
I05,0.4199,1.0759,1.6544,1.4274,0.3288,0.8171,0.5842,1.337,0.6302,0.7499,1.1821,1.1728,1.1109,1.1047,1.9601,Control
I06,0.2619,1.0592,1.6748,1.4991,0.1269,0.8285,0.6433,1.1407,0.7766,0.6986,1.2519,1.2156,1.1792,1.0076,2.2029,Control
I07,0.4685,1.3076,2.0133,1.6978,0.6353,1.1964,0.8562,1.6826,0.8825,0.777,1.539,1.5363,1.544,1.3312,2.1776,Control
I08,0.255,1.1801,1.6547,1.359,0.323,1.0811,0.8717,1.1969,0.7794,0.7565,1.2441,1.5925,1.502,1.0277,2.0668,Control
I09,0.2923,1.0923,1.5296,1.004,0.2891,0.785,0.5943,1.1398,0.7134,0.5675,1.1139,0.9446,1.0073,0.8178,2.018,Control
I10,0.383,1.3981,1.7815,1.3312,0.4881,1.0437,0.8113,1.3378,0.803,0.6837,1.3324,1.4471,1.5662,0.9818,2.0673,Control
I11,0.1324,0.7362,1.1234,1.0099,0.3087,0.7067,0.5033,0.7397,0.4488,0.2799,0.7861,1.0035,1.0907,0.5513,1.4954,Control
I12,0.327,1.1185,1.5103,1.2439,0.3087,0.8415,0.5538,1.1066,0.6858,0.5193,1.0864,1.2271,1.2698,1.0006,1.8852,Control
I13,0.3146,1.0414,1.7018,1.4183,0.1395,0.9456,0.6677,1.2752,0.7893,0.678,1.3318,1.299,1.238,0.9985,1.9737,Control
J01,0.2604,0.7824,1.5721,1.2201,0.2987,0.6251,0.3929,1.1568,0.7026,0.5088,1.1088,0.896,0.9805,0.7878,1.7303,Control
J02,0.3246,0.8129,1.4981,1.3102,0.374,0.8017,0.6094,1.0431,0.7941,0.6545,1.1512,1.026,1.2283,1.0727,1.8012,Control
J03,0.5259,1.3011,1.717,1.624,0.2683,0.9745,0.8277,1.2195,0.9263,0.8051,1.3969,1.5968,1.281,0.9005,2.285,Control
J04,0.2655,1.2064,1.8859,1.5021,0.24,0.8941,0.6675,1.2264,0.8251,0.6435,1.4794,1.3238,1.4024,1.0452,2.3606,Control
J05,0.137,0.9724,1.9599,1.1547,0.3528,1.0575,0.5585,1.2034,0.6953,0.3477,1.4833,1.0297,1.4122,0.8242,1.6254,Control
J06,0.0904,0.9486,1.7024,1.0357,0.2739,1.1251,0.6418,1.0766,0.6953,0.2769,1.2766,1.1661,1.5255,0.9087,1.7248,Control
J07,0.6707,1.3281,1.9156,1.6504,0.7033,0.9295,0.8398,1.3578,1.0587,0.8768,1.4014,1.4418,1.517,1.1021,2.9527,Control
J08,0.3499,1.1843,1.7739,1.3403,0.4005,0.9131,0.6588,1.2995,0.8243,0.7803,1.3653,1.098,1.236,1.0834,2.0546,Control
J09,0.14,0.7626,1.506,1.1743,0.0143,0.9162,0.505,0.7966,0.6908,0.3877,1.1458,1.0478,1.3217,0.7684,2.2864,Control
J10,0.3401,1.2269,1.9716,1.4674,0.3181,1.0875,0.65,1.2067,0.9086,0.6874,1.6095,1.4117,1.6151,1.0595,2.4235,Control
J11,0.2499,1.1194,2.1008,1.4282,0.2004,0.9673,0.5061,1.1854,0.8593,0.5435,1.6299,1.2251,1.3516,0.8982,2.3631,Control
J12,0.0938,0.966,1.6936,1.1497,0.1562,0.9327,0.5211,0.7953,0.767,0.3034,1.197,1.2426,1.3656,0.8653,1.8598,Control
K01,0.4113,1.5294,2.1498,1.4616,0.9482,1.1622,0.8296,1.5078,0.8038,0.7376,1.6457,1.6476,1.6727,1.0196,2.2191,BRCACancer
K02,0.4386,1.3931,1.9471,1.3428,0.3489,1.0599,0.7885,1.2481,0.7714,0.7379,1.5054,1.4652,1.6378,0.9506,2.0959,BRCACancer
K03,0.0857,1.2305,1.8068,1.0996,0.4248,0.996,0.666,1.0367,0.6449,0.5304,1.2985,1.3934,1.4084,0.7934,1.4928,BRCACancer
K04,0.346,1.3003,2.0148,1.4473,0.5344,1.1027,0.7517,1.4925,0.8845,0.8074,1.5492,1.4474,1.3249,1.0439,1.9051,BRCACancer
K05,0.3553,1.1347,1.8617,1.4568,0.3155,0.7895,0.5183,1.2254,0.6732,0.6367,1.4881,1.025,1.1504,0.9297,2.2261,Control
AA3226,0.1597,0.982,1.9483,1.5325,0.1571,0.9209,0.717,1.6442,0.7978,0.988,1.423,1.4991,1.4272,0.5842,2.0428,Control
AB3227,0.2644,1.3198,1.8185,1.3029,0.377,1.0371,0.5515,1.269,0.6662,0.5701,1.3966,1.2555,1.3486,1.171,2.2363,Control
AC3228,0.2436,0.9482,1.7684,1.3861,0.5688,0.8886,0.7897,1.2433,0.7617,0.7587,1.2887,1.2692,1.2599,0.8298,2.2625,Control
AD3231,0.3472,1.2463,1.8504,1.517,0.4173,1.1674,0.6701,1.1316,0.753,0.8418,1.545,1.161,1.6402,1.1561,2.6118,Control
AE1543,0.1277,1.0558,1.7779,1.2832,0.295,0.8049,0.5478,1.1156,0.8086,0.6226,1.2903,1.0391,1.2456,0.7349,2.2546,Control
AF3229,0.288,1.0277,1.7888,1.5889,0.5521,1.0308,0.8743,1.3355,0.911,0.673,1.1627,1.4288,1.8049,0.9091,2.447,Control
AG3230,0.3789,1.1978,1.7189,1.21,1.2527,0.939,0.6167,0.9685,0.7424,0.7424,1.4073,1.5591,1.6756,1.0022,2.5323,Control
AH3232,-0.0066,0.6566,1.6029,1.3469,0.3479,0.7833,0.4596,1.0719,0.722,0.688,1.0832,0.8551,1.4643,0.7323,2.3364,Control
AI3233,0.334,1.3284,1.5912,1.2122,0.2488,1.1206,0.7268,0.9375,0.6546,0.6987,1.3073,1.1638,1.1534,1.2176,2.0107,Control
AJ3234,0.2348,1.2511,1.6367,1.2754,0.2114,1.1017,0.684,1.0923,0.8413,0.7328,1.3841,1.0456,1.0016,1.0813,2.1734,Control
AK3235,0.2138,1.1469,1.6322,1.1742,0.1472,0.8768,0.6462,0.7913,0.7915,0.6486,1.1568,1.0235,1.0568,1.0372,1.8516,Control
AL3236,0.2385,0.8508,1.4919,1.1963,0.1655,0.8288,0.6181,0.784,1.0684,0.7497,1.2268,0.7777,0.9391,0.9491,1.7217,Control
AM3237,0.3029,1.2141,1.6348,1.1626,0.1743,0.9878,0.6491,0.9043,0.7411,0.6063,1.3269,1.1776,1.1815,1.0887,1.7856,Control
AN757,0.1819,1.1225,1.8993,1.2058,0.0227,0.865,0.6152,1.3024,0.7155,0.6867,1.4866,1.5767,1.2465,0.852,1.5947,Control
C474,0.3887,0.9511,2.0819,1.4235,0.6358,0.6671,0.5306,1.5285,0.8672,0.5752,1.266,1.2576,1.4215,0.7892,2.5073,Control
D480,0.1434,1.333,1.7104,1.3203,0.3,0.7722,0.4996,0.8568,0.7823,0.3949,1.2919,1.0827,1.5483,0.7705,1.9719,Control
