@relation data

@attribute id string
@attribute 10309 numeric
@attribute 8930 numeric
@attribute 4350 numeric
@attribute 23583 numeric
@attribute 4913 numeric
@attribute 5423 numeric
@attribute 328 numeric
@attribute 4968 numeric
@attribute 7515 numeric
@attribute 4595 numeric
@attribute 6996 numeric
@attribute 3980 numeric
@attribute Class {Control,BRCACancer}

@data
J787,0.0049,1.2059,0.472,0.2999,-0.0049,0.715,1.2317,0.2698,0.8257,0.3025,0.6512,0.9601,Control
K1162,0.0168,1.5091,0.4137,0.4652,0.1337,0.3885,1.3228,0.5991,0.8721,0.2399,0.3723,0.9372,BRCACancer
L1176,0.013,1.4858,0.2989,0.2392,-0.0105,0.7403,0.71,0.3778,0.7273,0.325,0.8399,0.9684,BRCACancer
M1263,-0.0764,1.4368,0.3392,0.3802,0.0193,0.6121,1.783,0.3822,0.8727,0.2143,0.7766,1.019,BRCACancer
P1075,0.122,0.8499,0.2744,0.294,-0.1141,0.7088,1.4069,0.264,0.7945,0.2038,0.5641,0.7685,BRCACancer
Q1080,0.0378,0.9435,0.4643,0.2857,0.0295,0.6807,0.8189,0.2704,0.7492,0.2209,0.518,0.551,BRCACancer
R1104,-0.0789,1.5378,0.3431,0.3541,-0.0416,0.6815,1.1586,0.3543,0.8049,0.3681,0.7435,0.9536,BRCACancer
S1133,0.0443,1.1144,0.3214,0.2621,-0.0445,0.9773,1.1069,0.2174,0.6632,0.1985,0.5359,0.6004,BRCACancer
T1463,0.0261,1.4867,0.3918,0.5793,0.1428,0.4157,1.0592,0.6562,0.7754,0.2625,0.5124,0.9063,BRCACancer
U2017,0.01,0.9082,0.2599,0.3207,-0.0837,0.4407,1.0776,0.2897,0.6295,0.2175,0.6437,0.879,BRCACancer
V432,-0.1446,1.0156,0.2208,0.394,-0.1502,0.7015,0.9271,0.1946,0.5013,0.1784,0.5484,0.759,BRCACancer
W433,-0.1246,1.4966,0.3467,0.4266,0.0834,0.4799,1.2767,0.4391,0.8033,0.1139,0.3413,0.9525,BRCACancer
X524,-0.0955,1.4953,0.3222,0.3638,-0.0491,0.7384,0.9033,0.3207,0.6653,0.1669,0.3864,0.6135,BRCACancer
Y546,0.035,0.8585,0.3942,0.2565,-0.0254,0.1807,1.0737,0.2757,0.5334,0.1408,0.282,0.4653,BRCACancer
Z3225,-0.0749,1.4887,0.4025,0.6138,0.2117,0.3306,1.3636,0.7148,0.9632,0.2186,0.4138,0.9629,Control
